District,count(district)
Chennai,1722
Madurai,248
Chengalpattu,243
Thiruvallur,215
Kancheepuram,94
Virudhunagar,83
Coimbatore,71
Vellore,61
Trichy,61
Theni,61
Thiruvannamalai,57
Ramanathapuram,57
Thoothukudi,54
Tirunelveli,50
Sivagangai,46
Kanyakumari,46
Dindigul,42
Ranipet,34
Villupuram,33
Salem,33
Cuddalore,33
Thanjavur,29
Tenkasi,27
Kallakurichi,24
Tiruvallur,13
Thirupathur,13
Pudukkottai,13
Kanchipuram,13
Tiruppur,12
Krishnagiri,12
Pudukottai,11
Dindugal,10
Thiruvarur,9
Karur,9
Viruthunagar,8
Tiruvannamalai,8
Nagapattinam,8
Erode,8
Namakkal,7
Ariyalur,7
Ramnathapuram,6
Dharmapuri,6
Perambalur,4
from,3
Tirupattur,3
vellore,2
thiruvallur,2
kanyakumari,2
Virudunagar,2
Virdhunagar,2
Tirupur,2
Tirupathur,2
Nilgiris,2
Guduvanchery,2
madurai,1
West,1
Vikravaandi,1
Thiruvanamalai,1
Thirupattur,1
Tambaram,1
Sivaganga,1
Rameshwaram,1
Ramanthapuram,1
Perisevalai,1
Kallakuruchi,1
ICF,1
Hosur,1
Dindugul,1
Bargur,1
